A Noble Quest | Description | A Noble Quest is an atlas passive skill that affects Expedition encounters.
Supreme Ostentation | Description | Supreme Ostentation does not disable other attribute-related effects, like Shaper's Touch , Mask of the Stitched Demon , Magebane , Solipsism.
Supreme Ostentation | Description | This keystone's primary use is to equip high-attribute-requirement items such as Mjölner , Garb of the Ephemeral , Cospri's Malice , Null's Inclination , Blunderbore Repentance and Zerphi's Heart. Builds making heavy use of tattoos may also find this keystone useful, replacing all attribute travel passives.
Supreme Ostentation | Location | This keystone will conquer any keystones within the radius of a Elegant Hubris jewel with modifier Commissioned (2000-160000) coins to commemorate Caspiro.
Surefooted Striker | Description | Surefooted Striker is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Surefooted Striker | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Damage with Two Handed Weapons.
Surefooted Striker | Unique items | The following unique items are related to Surefooted Striker:
Surge of Vigour | Description | Surge of Vigour is a notable passive skill.
Surge of Vigour | Location | Northwest of the Templar's starting location.
Surge of Vigour | Anointment | Blight anointment to unlock the passive:
Surging Vitality | Description | Surging Vitality is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree. [1] The first life regeneration effect stacks with other similar effects meaning that having 2 Surging Vitality skills allocated increases the life regenerated over 1 second to 20%.
Surging Vitality | Unique items | The following unique items are related to Surging Vitality:
Surprise Sabotage | Description | Surprise Sabotage is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Surprise Sabotage | Description | It only spawns from a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Trap Damage and 12% increased Mine Damage.
Surprise Sabotage | Unique items | The following unique items are related to Surprise Sabotage:
Surveillance | Description | Surveillance is a notable passive skill that grants increased damage and attack speed for totems. Each summoned Totem also applies increased damage taken to nearby enemies.
Surveillance | Anointment | Blight anointment to unlock the passive:
Survivalist (passive skill) | Description | Survivalist is a notable passive skill that grants increased evasion rating, additional elemental resistances and maximum cold resistance.
Survivalist (passive skill) | Anointment | Blight anointment to unlock the passive:
Survive The Assault | Description | Survive The Assault is an atlas passive skill.
Sustained Horde | Description | Sustained Horde is an atlas passive skill.
Sustained Horde | Mechanics | If an Abyss encounter does not lead to Abyssal Depths , it will lead to at least 3 Pits (holes which spawn monsters) if possible.
Swagger | Description | Swagger is a notable passive skill that grants additional chance to block attack damage while dual wielding. It grants a chance to gain a Frenzy Charge on block.
Swagger | Anointment | Blight anointment to unlock the passive:
Swarming Hive | Description | Swarming Hive is an atlas passive skill.
Swarming Hive | Mechanics | Beyond demons in your maps have increased chance to be followers of K'tash. They also drop more Divination cards if they are followers of K'tash.
Swift Venoms | Description | Swift Venoms is a notable passive skill that grants increased attack speed and additional damage over time multiplier for poison.
Swift Venoms | Anointment | Blight anointment to unlock the passive:
Syncretism | Description | Syncretism is an atlas passive skill.
Syncretism | Mechanics | Shrines in your maps grant a random additional shrine effect, and effects of shrine buffs on players are increased. Lesser shrines are not affected by this passive.
Syncretism | Ruthless mode | In Ruthless mode , this passive does not add an additional shrine to a map, but the increased shrine effect is buffed to 50%.
Tainted Carapaces | Description | Tainted Carapaces is an atlas passive skill.
Tainted Carapaces | Mechanics | Scarab drops in your maps are more likely to be Beyond scarabs.
Tamper-Proof | Description | Tamper-Proof is an atlas passive skill.
Tamper-Proof | Mechanics | Strongboxes in your maps are at least rare and they are corrupted.
Taste for Blood | Description | Taste for Blood is a notable passive skill.
Taste for Blood | Location | As of 3.16, the passive skill cluster is located in Shadow area of the skill tree. The cluster shares the same Dexterity connection node with Master Sapper , Dire Torment passive skill clusters, the Supreme Ego keystone, and a passive skill cluster that contains a Jewel Socket.
Taste for Blood | Location | It contains a Leech Mastery.
Taste for Blood | Anointment | Blight anointment to unlock the passive:
Tempered Arrowheads | Description | Tempered Arrowheads is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Tempered Arrowheads | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Damage with Bows and 12% increased Damage Over Time with Bow Skills.
Tempered Arrowheads | Unique items | The following unique items are related to Tempered Arrowheads:
Tempered by War | Description | Tempered by War is a keystone passive skill which causes 50% of Cold and Lightning Damage to be taken as Fire Damage at the cost of 50% less Cold Resistance and Lightning Resistance
Tempered by War | Description | For more information about taking damage as another element, see Damage taken as.
Tempered by War | Mechanics | When combined with a "taken as Fire" Avian Twins Talisman no cold or lightning damage from hits is taken for the chosen element.
Tempered by War | Mechanics | When combined with Mahuxotl's Machination no cold or lightning damage is taken; it is taken as either Fire or Chaos damage.
Tempered by War | Mechanics | When combined with Sublime Vision (Purity of Fire variation) and a Dawnbreaker or a Watcher's Eye with (10-20)% of Cold and Lightning Damage taken as Fire Damage while affected by Purity of Fire PurityOfFireColdAndLightningTakenAsFire Intrinsic (10-20)% of Cold and Lightning Damage taken as Fire Damage while affected by Purity of Fire mod with max rolls, no cold and lightning damage is taken; it is taken entirely as Fire Damage. This can also be combined with Chaos Inoculation to negate the need for cold, lightning, and chaos resistances.
